formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
Cs2F2,2.090,0.338,0.338,0.142,0.000,4.151,,6.059,0.843,1.185,,0.640,33.331,4,2,-0.000,0.121,-2.599,No,p4/nmm
ZrCl2,0.909,5.127,5.127,0.356,0.000,0.981,1.993,1.500,1.007,0.431,0.213,3.416,10.071,3,2,0.000,0.000,-1.705,No,p-6m2
Cu2I2,0.916,2.253,2.253,0.421,0.000,1.865,3.504,3.552,0.305,0.585,,3.441,16.933,4,2,0.000,0.008,-0.158,No,p4/nmm
ZrI2,0.644,7.220,7.220,0.460,0.000,0.687,1.428,1.038,0.808,0.326,0.000,3.878,12.697,3,2,-0.000,0.029,-0.881,No,p-6m2
Cu2S2,0.949,6.341,2.874,0.292,0.000,0.624,1.584,1.311,0.805,2.369,0.402,2.357,18.144,4,2,0.000,0.127,-0.086,No,p2/m11
ZrO2,2.104,1.402,1.402,0.215,0.000,4.448,7.722,6.508,1.384,1.914,10.745,1.923,9.254,3,2,-0.000,0.217,-3.299,No,p-3m1
ZrO2,2.028,1.649,1.649,0.242,0.000,1.690,4.435,3.561,1.483,4.088,,2.325,8.522,3,2,0.000,0.766,-2.749,No,p-6m2
ZrS2,0.633,4.207,4.207,0.345,0.000,1.159,2.885,2.167,0.755,0.340,19.209,2.892,11.743,3,2,0.000,0.000,-1.585,No,p-3m1
ZrS2,1.184,3.527,3.527,0.371,0.000,0.965,2.748,2.023,1.651,1.340,,3.140,11.046,3,2,-0.000,0.190,-1.396,No,p-6m2
Cu2Se2,0.859,8.171,2.760,0.343,0.000,0.447,,1.116,0.814,0.626,0.329,2.770,18.266,4,2,0.000,0.101,-0.040,No,p2/m11
ZrSe2,0.381,6.558,6.558,0.385,0.000,0.337,1.691,1.202,0.612,0.198,31.217,3.161,12.471,3,2,0.000,0.000,-1.367,No,p-3m1
ZrSe2,0.919,4.844,4.844,0.408,0.000,0.739,2.183,1.684,0.931,0.998,,3.373,11.867,3,2,-0.000,0.144,-1.223,No,p-6m2
ZrTe2,0.422,9.954,9.954,0.467,0.000,0.259,0.906,0.836,0.536,1.073,5.250,3.723,13.325,3,2,-0.000,0.110,-0.787,No,p-6m2
Ge2F2,-0.024,7.313,7.313,0.260,0.000,0.118,0.350,0.380,0.028,1.920,3711.281,4.155,15.645,4,2,-0.000,0.159,-1.467,No,p-3m1
K2F2,2.386,0.228,0.228,0.115,0.000,4.964,,7.022,0.861,2.895,,0.630,26.133,4,2,0.000,0.147,-2.657,No,p4/nmm
Rb2F2,2.344,0.262,0.262,0.124,0.000,4.557,,6.553,0.818,1.835,,0.668,29.443,4,2,0.000,0.135,-2.599,No,p4/nmm
Si2F2,0.727,3.205,3.205,0.251,0.000,0.666,2.333,1.492,0.239,0.215,0.260,3.989,13.473,4,2,0.000,0.181,-1.767,No,p-3m1
Sn2F2,0.328,21.540,21.540,0.264,0.278,0.316,,0.296,0.148,1.831,43.256,4.470,21.321,4,2,0.000,0.304,-1.460,No,p-3m1
Cd2S4,1.589,1.771,2.143,0.245,0.000,1.520,,2.378,4.926,0.659,3.711,1.561,35.158,6,2,0.000,0.292,-0.152,No,p2_1/b11
Ga2I2,1.345,1.824,1.824,0.265,0.000,1.786,,2.399,2.147,0.859,,2.357,35.962,4,2,-0.000,0.115,-0.253,No,p4/nmm
Ga2O2,1.288,2.196,2.196,0.390,0.000,1.556,3.851,2.472,0.334,4.089,1.721,4.012,8.500,4,2,-0.000,0.060,-1.450,No,p-6m2
Ga2S2,0.873,3.345,3.345,0.491,0.000,2.321,4.084,3.197,0.233,3.762,2.074,4.667,11.508,4,2,0.000,0.000,-0.664,No,p-6m2
Ga2Se2,0.636,4.189,4.189,0.525,0.000,1.765,3.445,2.506,0.171,2.877,2.143,4.830,12.667,4,2,0.000,0.000,-0.601,No,p-6m2
Ga2Te2,0.454,5.548,5.548,0.571,0.000,1.297,2.617,1.862,0.010,1.687,1.906,5.020,14.773,4,2,0.000,0.002,-0.372,No,p-6m2
Ge2H2,0.385,2.829,2.829,0.283,0.000,0.920,2.353,1.488,0.074,0.099,0.713,3.862,14.392,4,2,-0.000,0.082,0.082,No,p-3m1
Ge2S2,0.944,3.782,3.750,0.365,0.000,1.714,3.030,2.372,0.328,0.510,2.660,2.564,16.368,4,2,-0.000,0.036,-0.246,No,pm2_1n
Ge2Se2,0.436,8.059,8.909,0.384,0.000,1.121,1.861,1.559,0.174,0.169,6.655,2.605,16.981,4,2,-0.000,0.063,-0.205,No,pm2_1n
Ge2Te2,0.464,15.568,18.472,0.426,0.000,0.815,1.286,1.103,0.112,0.087,14.680,3.036,18.508,4,2,-0.000,0.060,-0.039,No,pm2_1n
Si2H2,0.723,1.963,1.963,0.272,0.000,2.171,3.833,2.862,0.650,0.256,,3.725,13.141,4,2,-0.000,0.005,0.005,No,p-3m1
Sn2H2,0.288,7.294,7.294,0.301,0.000,0.236,1.043,0.685,0.029,0.034,,4.293,19.178,4,2,0.000,0.171,0.171,No,p-3m1
Mo2S4,0.427,55.571,54.068,0.211,0.000,0.133,,0.006,0.042,0.198,3.755,0.000,36.509,6,2,-0.000,1.022,0.101,Yes,p4/mbm
Ni2S4,1.130,4.711,4.530,0.238,0.000,0.824,,2.231,0.910,2.070,0.507,1.160,27.900,6,2,-0.000,0.035,-0.265,No,p2_1/b11
Ni2Se4,0.881,5.607,5.833,0.265,0.000,1.015,,2.183,1.911,2.088,0.824,1.375,31.424,6,2,0.000,0.067,-0.191,No,p2_1/b11
In2I2,1.197,1.772,1.772,0.255,0.000,1.787,,2.347,1.178,0.012,,2.249,41.404,4,2,-0.000,0.125,-0.363,No,p4/nmm
K2I2,1.709,0.503,0.503,0.211,0.000,3.885,,4.784,0.516,33.182,0.711,1.887,44.466,4,2,0.000,0.134,-1.385,No,p4/nmm
Pb2Se4,0.629,,,,0.000,0.728,,1.454,inf,0.404,,2.244,37.929,6,2,-0.000,0.162,-0.226,No,c2/m11
Pd2S4,1.113,3.904,3.915,0.238,0.000,1.120,,2.015,0.828,2.622,0.289,1.273,30.612,6,2,0.000,0.002,-0.294,No,p2_1/b11
Pd2Se4,0.891,4.292,4.660,0.264,0.000,1.313,,2.048,4.348,1.102,0.462,1.487,34.042,6,2,0.000,0.004,-0.287,No,p2_1/b11
Rb2I2,1.629,0.503,0.503,0.205,0.000,3.714,,4.613,0.510,28.903,0.775,1.794,49.467,4,2,-0.000,0.137,-1.397,No,p4/nmm
Pt2S4,0.986,3.395,3.330,0.244,0.000,1.802,,2.787,1.033,0.881,0.206,1.285,30.425,6,2,-0.000,0.050,-0.345,No,p2_1/b11
Pt2Se4,0.837,3.945,4.119,0.269,0.000,1.441,,2.297,0.700,0.918,0.345,1.503,33.867,6,2,-0.000,0.103,-0.310,No,p2_1/b11
