formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
Sc2Te2,0.413,22.836,22.836,0.635,0.000,0.291,0.556,0.718,0.848,0.528,,6.350,14.408,4,2,-0.000,0.614,-0.565,No,p-6m2
Si2Se2,0.806,4.764,4.367,0.376,0.000,1.195,2.438,1.814,0.342,0.343,1.776,2.512,17.233,4,2,0.000,0.402,0.064,No,pm2_1n
Sn2Se2,0.444,9.349,9.726,0.415,0.000,0.923,1.629,1.345,0.126,0.134,25.835,2.759,18.898,4,2,-0.000,0.043,-0.389,No,pm2_1n
SbSCl,0.964,3.614,3.614,0.362,0.000,1.316,2.643,1.993,inf,1.055,,3.160,13.463,3,3,0.034,0.037,-0.511,No,p3m1
SbSCl,1.252,3.554,3.554,0.388,0.000,1.669,2.948,2.321,0.936,0.751,,3.427,12.700,3,3,0.063,0.169,-0.379,No,p3m1
Sn2Se2,0.305,8.229,8.229,0.223,3.467,0.084,,0.086,0.235,0.177,,0.000,33.748,4,2,-0.000,0.407,-0.025,No,p4/mmm
SbSeCl,0.791,4.134,4.134,0.378,0.000,1.172,2.404,1.804,1.199,0.993,22.005,3.248,14.080,3,3,0.063,0.004,-0.537,No,p3m1
SbSeCl,1.094,4.088,4.088,0.406,0.000,1.674,2.856,2.290,1.262,0.692,17.152,3.527,13.296,3,3,0.096,0.136,-0.405,No,p3m1
SbTeCl,0.569,4.932,4.932,0.397,0.000,1.255,2.382,1.866,0.179,1.140,19.518,3.320,15.237,3,3,0.101,0.000,-0.466,No,p3m1
SbTeCl,0.566,5.060,5.060,0.429,0.000,1.394,2.350,1.891,0.667,0.391,,3.648,14.360,3,3,0.141,0.145,-0.322,No,p3m1
CrSeS,0.508,9.618,9.618,0.889,0.000,0.782,1.294,1.241,0.939,0.922,0.938,3.049,8.479,3,3,-0.039,0.010,-0.569,No,p3m1
Tl2Se2,0.545,5.922,5.922,0.589,0.000,0.494,1.322,0.891,0.182,2.022,4.188,5.469,15.442,4,2,-0.000,0.076,-0.196,No,p-6m2
CrTeS,0.481,12.488,12.488,0.886,0.000,0.261,0.697,0.820,1.101,4.138,1.866,3.176,9.269,3,3,-0.080,0.161,-0.318,No,p3m1
CrTeSe,0.448,12.353,12.353,0.878,0.000,0.572,0.974,0.994,0.998,1.158,1.840,3.277,9.699,3,3,-0.042,0.111,-0.270,No,p3m1
V2Se2,0.510,21.029,21.029,0.458,0.000,0.257,0.572,0.788,3.157,0.760,,4.359,11.771,4,2,-0.000,0.420,-0.218,No,p-6m2
Zr2Se2,0.433,19.612,19.612,0.614,0.000,0.059,,0.355,0.506,1.974,0.002,5.971,11.197,4,2,0.000,0.484,-0.726,No,p-6m2
Si2Te2,0.484,22.632,29.586,0.423,0.000,0.388,0.772,0.550,0.158,0.049,,2.914,17.600,4,2,-0.000,0.289,0.251,No,pm2_1n
Sn2Te2,0.352,18.482,19.294,0.447,0.000,0.603,1.009,0.897,0.074,0.064,117.805,3.155,20.827,4,2,-0.000,0.063,-0.215,No,pm2_1n
Sn2Te2,0.284,12.961,12.961,0.245,3.983,0.028,,0.067,0.338,0.134,,0.000,38.075,4,2,0.000,0.435,0.157,No,p4/mmm
HfSeS,0.482,4.645,4.645,0.355,0.000,0.684,2.175,1.512,1.077,0.250,16.838,3.021,11.929,3,3,0.001,0.003,-1.471,No,p3m1
Ti2Te2,0.348,33.801,33.801,0.634,0.000,0.217,0.411,0.440,0.558,16.752,1.265,5.809,11.275,4,2,-0.000,0.610,-0.097,No,p-6m2
HfSeS,1.021,4.072,4.072,0.378,0.000,0.887,2.175,1.645,0.825,1.277,3.123,3.245,11.289,3,3,0.003,0.196,-1.278,No,p3m1
Tl2Te2,0.367,7.685,7.685,0.633,0.000,0.339,,0.681,0.107,1.011,3.910,5.667,17.623,4,2,0.000,0.137,-0.089,No,p-6m2
HfTeSe,0.486,8.354,8.354,0.427,0.000,0.142,0.738,0.637,0.592,0.520,4.310,3.520,12.438,3,3,0.006,0.149,-0.941,No,p3m1
V2Te2,0.535,22.823,22.823,0.505,0.000,0.224,0.547,0.774,3.588,0.747,,4.604,13.568,4,2,0.000,0.490,0.185,No,p-6m2
SbSI,0.752,5.461,5.461,0.420,0.000,1.219,2.260,1.782,2.452,0.721,24.210,3.451,14.440,3,3,-0.032,0.058,-0.278,No,p3m1
SbSI,0.424,5.107,5.107,0.449,0.000,0.794,1.809,1.455,0.760,0.361,12.590,3.741,13.697,3,3,-0.007,0.202,-0.135,No,p3m1
SbSeI,0.645,6.005,6.005,0.439,0.000,1.012,1.994,1.529,2.122,0.725,17.889,3.577,15.044,3,3,-0.003,0.019,-0.312,No,p3m1
SbSeI,0.473,5.677,5.677,0.469,0.000,1.007,1.968,1.592,0.722,0.373,10.552,3.861,14.228,3,3,0.024,0.149,-0.183,No,p3m1
SbTeI,0.494,6.768,6.768,0.463,0.000,0.838,1.676,1.322,2.548,1.069,14.124,3.705,16.148,3,3,0.041,0.000,-0.250,No,p3m1
SbTeI,0.386,6.662,6.662,0.496,0.000,1.011,1.778,1.442,2.760,0.347,10.206,4.012,15.195,3,3,0.068,0.123,-0.128,No,p3m1
Zr2Te2,0.360,22.830,22.830,0.678,0.000,0.452,0.738,0.652,0.347,55.827,0.194,6.315,12.170,4,2,0.000,0.624,-0.297,No,p-6m2
MoSeS,0.527,6.793,6.793,0.393,0.000,1.453,2.328,1.949,0.485,0.598,0.225,3.232,9.152,3,3,-0.038,0.009,-0.805,No,p3m1
MoTeS,0.509,8.328,8.328,0.422,0.000,0.992,1.988,1.585,0.647,23.005,0.794,3.373,9.795,3,3,-0.079,0.065,-0.546,No,p3m1
MoTeS,0.311,31.536,31.536,0.434,0.000,0.204,,0.233,0.385,0.622,,3.478,9.543,3,3,-0.069,0.223,-0.388,No,p3m1
MoTeSe,0.475,8.542,8.542,0.440,0.000,1.136,1.844,1.594,inf,0.603,0.746,3.476,10.208,3,3,-0.040,0.025,-0.479,No,p3m1
TiSeS,0.690,7.145,7.145,0.385,0.000,0.505,1.333,1.342,1.420,1.084,3.241,3.122,10.128,3,3,0.001,0.128,-1.096,No,p3m1
WSeS,0.507,6.096,6.096,0.393,0.000,1.402,2.314,1.911,0.419,0.368,0.101,3.251,9.159,3,3,-0.037,0.010,-0.724,No,p3m1
ZrSeS,0.443,5.578,5.578,0.365,0.000,0.613,2.206,1.514,0.582,0.246,20.973,3.025,12.097,3,3,0.003,0.000,-1.478,No,p3m1
ZrSeS,0.977,4.540,4.540,0.389,0.000,0.829,2.206,1.777,1.125,1.100,,3.251,11.454,3,3,0.006,0.163,-1.315,No,p3m1
WTeS,0.502,7.440,7.440,0.422,0.000,1.141,2.065,1.681,1.131,9.606,0.518,3.390,9.790,3,3,-0.076,0.086,-0.419,No,p3m1
WTeS,0.304,29.318,29.318,0.433,0.000,0.202,,0.205,0.408,0.522,,3.479,9.574,3,3,-0.064,0.266,-0.238,No,p3m1
ZrTeS,0.472,9.637,9.637,0.417,0.000,0.208,0.735,0.672,1.037,0.746,3.174,3.392,12.137,3,3,0.004,0.122,-1.120,No,p3m1
VTeSe,0.462,13.015,13.015,0.430,0.000,0.120,,0.831,0.736,4.493,0.165,3.342,10.444,3,3,-0.028,0.013,-0.502,Yes,p3m1
WTeSe,0.455,7.785,7.785,0.440,0.000,1.037,1.800,1.493,0.473,0.400,0.448,3.495,10.206,3,3,-0.038,0.042,-0.324,No,p3m1
ZrTeSe,0.471,9.115,9.115,0.436,0.000,0.262,0.895,0.783,0.738,0.709,4.051,3.532,12.572,3,3,0.009,0.115,-1.017,No,p3m1
BaBr2,1.850,0.874,0.874,0.293,0.000,4.902,,6.031,0.453,23.712,1.928,3.114,21.333,3,2,-0.000,0.056,-2.210,No,p-3m1
BaBr2,2.239,0.943,0.943,0.339,0.000,4.157,7.284,5.328,4.979,7.168,1.683,3.674,19.068,3,2,-0.000,0.167,-2.099,No,p-6m2
BaCl2,2.236,0.705,0.705,0.249,0.000,5.618,9.207,6.916,0.560,5.282,2.141,2.769,20.066,3,2,0.000,0.108,-2.503,No,p-3m1
BaCl2,2.588,0.773,0.773,0.293,0.000,4.747,8.184,6.099,11.034,13.360,1.692,3.384,17.799,3,2,-0.000,0.241,-2.370,No,p-6m2
BaI2,1.556,1.149,1.149,0.357,0.000,3.873,,4.874,0.971,0.994,2.012,3.572,23.344,3,2,-0.000,0.021,-1.816,No,p-3m1
BaI2,1.724,1.222,1.222,0.404,0.000,3.332,,4.274,3.955,3.823,1.667,4.089,20.978,3,2,-0.000,0.105,-1.732,No,p-6m2
CaBr2,1.980,0.968,0.968,0.314,0.000,4.863,8.458,6.286,1.085,0.952,1.768,3.121,16.003,3,2,0.000,0.000,-2.094,No,p-3m1
CaBr2,2.172,1.057,1.057,0.349,0.000,4.128,7.587,5.515,1.381,1.424,1.806,3.514,14.692,3,2,0.000,0.129,-1.965,No,p-6m2
CaCl2,2.563,0.748,0.748,0.267,0.000,5.784,9.883,7.441,1.259,5.519,1.637,2.804,14.826,3,2,0.000,0.010,-2.421,No,p-3m1
CaCl2,2.603,0.818,0.818,0.301,0.000,4.771,8.830,6.384,1.872,28.987,1.712,3.232,13.484,3,2,-0.000,0.164,-2.267,No,p-6m2
CaI2,1.514,1.346,1.346,0.381,0.000,3.537,6.920,4.812,0.741,0.572,1.863,3.537,17.919,3,2,0.000,0.000,-1.666,No,p-3m1
CaI2,1.593,1.434,1.434,0.414,0.000,2.946,5.912,4.063,0.977,0.706,2.052,3.898,16.657,3,2,-0.000,0.108,-1.559,No,p-6m2
CdBr2,1.282,1.510,1.510,0.346,0.000,3.069,5.484,4.159,0.390,0.799,3.293,3.133,14.290,3,2,-0.000,0.000,-0.903,No,p-3m1
CdBr2,1.123,1.667,1.667,0.379,0.000,2.369,4.648,3.373,0.356,0.811,,3.475,13.266,3,2,0.000,0.121,-0.782,No,p-6m2
CdCl2,1.718,1.118,1.118,0.298,0.000,3.868,6.723,5.176,0.484,1.454,2.584,2.876,13.170,3,2,-0.000,0.000,-1.117,No,p-3m1
CdCl2,1.618,1.252,1.252,0.332,0.000,3.098,5.816,4.344,0.451,6.140,,3.240,12.083,3,2,0.000,0.130,-0.988,No,p-6m2
CdI2,1.135,2.164,2.164,0.409,0.000,2.136,4.037,2.992,0.542,0.488,4.866,3.441,16.195,3,2,0.000,0.030,-0.600,No,p-3m1
CdI2,0.873,2.368,2.368,0.442,0.000,1.490,3.331,2.295,0.535,0.513,,3.787,15.275,3,2,-0.000,0.159,-0.471,No,p-6m2
CoBr2,2.211,3.569,3.569,0.377,0.000,0.348,1.401,3.528,3.417,13.344,,2.869,12.062,3,2,0.000,0.023,-0.338,Yes,p-3m1
CoCl2,2.383,3.061,3.061,0.338,0.000,0.351,,3.799,3.079,109.820,,2.663,10.836,3,2,0.000,0.021,-0.603,Yes,p-3m1
CrO2,0.776,5.946,5.946,0.967,0.000,0.416,1.230,1.144,0.870,1.421,0.131,2.337,6.011,3,2,0.000,0.168,-1.693,No,p-6m2
CrS2,0.534,8.562,8.562,0.906,0.000,0.877,1.448,1.351,0.873,0.884,0.661,2.948,8.043,3,2,-0.000,0.000,-0.673,No,p-6m2
CrSe2,0.479,10.309,10.309,0.881,0.000,0.685,1.165,1.128,0.917,0.950,1.120,3.148,8.925,3,2,-0.000,0.000,-0.486,No,p-6m2
CrTe2,0.433,13.546,13.546,0.876,0.000,0.453,0.812,0.869,0.816,0.819,2.252,3.412,10.429,3,2,-0.000,0.108,-0.106,No,p-6m2
FeBr2,0.505,8.765,8.765,0.426,0.000,0.263,0.759,0.145,0.882,0.835,0.100,3.286,11.049,3,2,-0.000,0.081,-0.383,Yes,p-6m2
FeCl2,0.584,6.667,6.667,0.387,0.000,0.351,0.921,0.071,0.838,0.806,0.267,3.079,9.804,3,2,-0.000,0.067,-0.674,Yes,p-6m2
FeI2,0.397,13.372,13.372,0.479,0.000,0.144,,0.020,0.697,0.696,,3.546,12.985,3,2,0.000,0.112,-0.008,Yes,p-6m2
GeBr2,1.338,2.485,2.485,0.367,0.000,2.301,4.130,3.154,0.311,1.242,,3.211,14.326,3,2,0.000,0.000,-0.608,No,p-3m1
GeBr2,1.455,2.440,2.440,0.399,0.000,2.536,4.288,3.333,1.185,0.776,,3.525,13.427,3,2,-0.000,0.112,-0.496,No,p-6m2
GeCl2,1.832,1.868,1.868,0.351,0.000,2.955,4.930,3.875,1.520,1.178,,3.278,12.408,3,2,0.000,0.118,-0.675,No,p-6m2
GeI2,0.916,3.614,3.614,0.427,0.000,1.954,3.348,2.668,0.251,1.435,21.031,3.490,16.016,3,2,-0.000,0.003,-0.360,No,p-3m1
GeO2,1.972,1.124,1.124,0.221,0.000,3.641,7.023,5.355,0.358,3.087,2.760,1.959,7.302,3,2,-0.000,0.078,-1.570,No,p-3m1
GeO2,1.966,1.560,1.560,0.252,0.000,1.457,5.108,2.945,0.309,5.960,,2.321,6.846,3,2,-0.000,0.639,-1.010,No,p-6m2
GeS2,0.784,3.966,3.966,0.361,0.000,0.729,2.266,1.405,0.359,0.524,5.604,2.794,10.269,3,2,0.000,0.123,-0.224,No,p-3m1
HfBr2,0.808,5.195,5.195,0.404,0.000,0.732,1.759,1.226,0.714,0.350,0.264,3.697,10.610,3,2,0.000,0.007,-1.157,No,p-6m2
HfCl2,0.914,4.367,4.367,0.355,0.000,0.908,2.092,1.471,0.780,0.376,0.398,3.460,9.715,3,2,-0.000,0.007,-1.540,No,p-6m2
HfI2,0.571,6.785,6.785,0.460,0.000,0.630,1.421,1.022,0.615,0.275,0.020,3.895,12.329,3,2,0.000,0.114,-0.674,No,p-6m2
HfO2,2.164,1.198,1.198,0.209,0.000,4.777,7.939,6.593,1.713,1.827,7.049,1.945,9.172,3,2,-0.000,0.214,-3.303,No,p-3m1
HfO2,2.198,1.355,1.355,0.232,0.000,1.928,4.700,3.726,1.540,4.421,,2.337,8.442,3,2,-0.000,0.770,-2.747,No,p-6m2
HfS2,0.731,3.604,3.604,0.335,0.000,1.221,2.938,2.148,0.728,0.314,14.509,2.896,11.551,3,2,-0.000,0.000,-1.592,No,p-3m1
HfS2,1.290,3.155,3.155,0.359,0.000,1.061,2.826,2.038,0.947,1.454,,3.138,10.871,3,2,-0.000,0.217,-1.375,No,p-6m2
HfSe2,0.399,5.381,5.381,0.375,0.000,0.427,1.788,1.219,0.613,0.199,22.093,3.152,12.326,3,2,-0.000,0.000,-1.349,No,p-3m1
HfSe2,0.946,4.380,4.380,0.398,0.000,0.812,2.115,1.626,0.753,1.273,3.289,3.365,11.708,3,2,-0.000,0.174,-1.175,No,p-6m2
HfTe2,0.439,8.701,8.701,0.456,0.000,0.132,0.809,0.665,0.527,0.585,4.584,3.699,13.235,3,2,-0.000,0.133,-0.698,No,p-6m2
HgBr2,1.216,1.994,1.994,0.361,0.000,1.982,3.786,2.928,0.466,0.790,,3.179,14.867,3,2,0.000,0.038,-0.493,No,p-3m1
HgBr2,1.034,2.302,2.302,0.396,0.000,1.573,3.299,2.459,0.381,0.892,,3.542,13.688,3,2,0.000,0.138,-0.393,No,p-6m2
HgCl2,1.565,1.492,1.492,0.312,0.000,2.447,4.618,3.599,0.583,1.282,,2.919,13.815,3,2,0.000,0.026,-0.630,No,p-3m1
HgCl2,1.464,1.723,1.723,0.350,0.000,2.084,4.190,3.201,0.487,7.103,,3.315,12.528,3,2,0.000,0.131,-0.526,No,p-6m2
HgI2,0.980,2.891,2.891,0.424,0.000,1.199,2.594,1.919,0.607,0.473,,3.487,16.668,3,2,-0.000,0.077,-0.280,No,p-3m1
HgI2,0.796,3.349,3.349,0.458,0.000,0.704,2.069,1.370,0.544,0.561,,3.836,15.664,3,2,-0.000,0.189,-0.168,No,p-6m2
MgBr2,1.242,1.115,1.115,0.328,0.000,4.588,7.716,5.744,0.331,0.765,2.253,3.014,13.061,3,2,-0.000,0.000,-1.532,No,p-3m1
MgBr2,1.233,1.233,1.233,0.357,0.000,3.570,6.502,4.662,0.330,0.664,,3.346,12.331,3,2,-0.000,0.169,-1.363,No,p-6m2
MgCl2,1.860,0.811,0.811,0.281,0.000,5.941,9.599,7.294,0.413,1.166,1.806,2.746,11.683,3,2,-0.000,0.000,-1.887,No,p-3m1
MgCl2,1.793,0.908,0.908,0.308,0.000,4.762,8.210,6.063,0.423,1.070,,3.080,10.960,3,2,0.000,0.190,-1.697,No,p-6m2
MgI2,1.098,1.637,1.637,0.391,0.000,3.273,5.744,4.201,0.449,0.496,2.908,3.349,15.330,3,2,0.000,0.001,-1.080,No,p-3m1
MgI2,0.918,1.766,1.766,0.423,0.000,2.566,4.921,3.448,0.572,0.452,,3.697,14.580,3,2,-0.000,0.160,-0.921,No,p-6m2
MnBr2,0.109,1.555,1.555,0.340,0.000,1.477,3.797,4.289,1.706,0.759,,3.021,13.108,3,2,0.000,0.000,-0.783,Yes,p-3m1
MnBr2,0.586,1.651,1.651,0.370,0.000,1.588,,,3.745,3.202,,3.348,12.166,3,2,0.000,0.129,-0.654,Yes,p-6m2
MnCl2,0.064,1.155,1.155,0.293,0.000,1.797,5.398,4.836,1.876,1.311,,2.767,11.987,3,2,-0.000,0.000,-1.060,Yes,p-3m1
MnCl2,0.589,1.253,1.253,0.324,0.000,1.713,,,4.284,4.518,,3.114,10.976,3,2,-0.000,0.136,-0.924,Yes,p-6m2
MnI2,0.196,2.264,2.264,0.399,0.000,0.877,,3.311,1.492,0.436,,3.299,15.028,3,2,0.000,0.000,-0.419,Yes,p-3m1
MnI2,0.555,2.344,2.344,0.431,0.000,1.048,,,2.702,1.145,,3.644,14.106,3,2,0.000,0.135,-0.285,Yes,p-6m2
MnO2,0.778,2.594,2.594,0.223,0.000,1.132,3.192,4.137,0.896,9.531,5.472,1.920,7.254,3,2,-0.000,0.018,-1.642,Yes,p-3m1
MoO2,0.788,4.012,4.012,0.247,0.000,0.912,2.317,1.651,0.419,0.763,0.787,2.450,6.889,3,2,-0.000,0.028,-1.979,No,p-6m2
MoS2,0.547,6.192,6.192,0.374,0.000,1.580,2.533,2.087,0.427,0.530,0.096,3.127,8.780,3,2,0.000,0.000,-0.921,No,p-6m2
MoSe2,0.500,7.280,7.280,0.412,0.000,1.321,2.119,1.804,0.492,0.585,0.300,3.338,9.544,3,2,-0.000,0.000,-0.708,No,p-6m2
MoTe2,0.455,9.468,9.468,0.467,0.000,0.932,1.563,1.370,0.472,0.579,1.032,3.610,10.898,3,2,-0.000,0.000,-0.301,No,p-6m2
NiBr2,2.414,2.484,2.484,0.345,0.000,0.876,2.611,3.317,1.159,2.233,1.031,2.808,11.850,3,2,0.000,0.000,-0.407,Yes,p-3m1
NiCl2,3.350,1.832,1.832,0.302,0.000,1.219,3.413,4.082,1.402,2.229,1.080,2.617,10.623,3,2,-0.000,0.000,-0.641,Yes,p-3m1
NiO2,1.212,4.467,4.467,0.248,0.000,1.281,2.346,3.311,0.948,13.578,1.231,1.899,6.983,3,2,-0.000,0.000,-0.709,No,p-3m1
NiS2,0.450,10.609,10.609,0.355,0.000,0.583,1.868,1.002,0.326,0.838,0.356,2.351,9.740,3,2,0.000,0.049,-0.252,No,p-3m1
OsBr2,1.235,3.701,3.701,0.325,0.000,1.157,2.463,2.424,0.738,2.013,,2.525,12.692,3,2,0.000,0.402,0.354,No,p-3m1
OsCl2,1.473,3.028,3.028,0.283,0.000,1.330,2.881,2.714,0.952,2.672,0.064,2.330,11.504,3,2,-0.000,0.500,0.163,No,p-3m1
OsI2,0.869,4.744,4.744,0.385,0.000,1.100,2.235,2.209,0.529,1.933,,2.733,14.244,3,2,0.000,0.438,0.438,No,p-3m1
AlAs,0.966,2.593,2.593,0.229,0.000,1.237,2.986,2.028,0.133,0.726,,0.000,14.544,2,2,-0.000,0.522,0.039,No,p-6m2
AlN,1.750,0.849,0.849,0.196,0.000,2.893,,4.048,0.509,0.882,0.505,0.000,8.509,2,2,-0.000,0.512,-0.865,No,p-6m2
AlSb,0.787,4.005,4.005,0.258,0.000,1.507,2.558,1.996,inf,0.827,,0.621,16.717,2,2,-0.060,0.475,0.297,No,p3m1
OsO2,-0.001,9.274,9.274,0.223,3.732,0.265,,,2.919,1.280,,2.013,8.090,3,2,0.000,0.348,-0.627,Yes,p-3m1
GaAs,0.398,4.163,4.163,0.236,0.000,1.119,2.490,1.719,inf,0.632,0.873,0.602,14.285,2,2,-0.063,0.413,0.064,No,p3m1
InAs,0.359,4.917,4.917,0.247,0.000,0.691,1.687,1.234,1.160,0.123,1.067,0.657,16.404,2,2,-0.084,0.400,0.145,No,p3m1
BN,2.001,0.960,0.960,0.152,0.000,4.667,7.117,5.675,0.934,0.642,0.477,0.000,5.457,2,2,-0.000,0.000,-1.292,No,p-6m2
BP,0.494,4.832,4.832,0.196,0.000,0.898,1.802,1.362,0.189,0.178,0.146,0.000,8.956,2,2,-0.000,0.382,-0.029,No,p-6m2
BSb,0.300,11.852,11.852,0.228,0.000,0.314,0.635,0.551,0.071,0.070,,0.000,12.002,2,2,-0.000,0.806,0.806,No,p-6m2
PbBr2,1.186,1.871,1.871,0.355,0.000,2.004,4.207,2.926,0.335,2.376,12.406,3.329,17.437,3,2,-0.000,0.000,-0.965,No,p-3m1
PbBr2,1.561,1.873,1.873,0.392,0.000,2.275,4.436,3.248,0.630,1.325,5.548,3.683,16.072,3,2,-0.000,0.082,-0.883,No,p-6m2
PbCl2,1.632,1.409,1.409,0.301,0.000,2.367,4.928,3.406,0.533,1.880,14.271,2.977,16.709,3,2,-0.000,0.010,-1.168,No,p-3m1
PbCl2,1.819,1.457,1.457,0.341,0.000,2.775,5.249,3.856,0.736,3.020,5.744,3.401,15.132,3,2,-0.000,0.105,-1.073,No,p-6m2
PbI2,0.748,2.657,2.657,0.427,0.000,1.499,3.224,2.300,0.307,2.727,10.575,3.735,18.807,3,2,-0.000,0.000,-0.692,No,p-3m1
PbI2,0.762,2.598,2.598,0.461,0.000,1.577,3.338,2.404,0.400,0.669,5.273,4.062,17.556,3,2,-0.000,0.078,-0.614,No,p-6m2
PbO2,1.194,1.952,1.952,0.238,0.000,1.346,2.995,2.341,0.463,13.424,3.388,2.117,10.024,3,2,-0.000,0.094,-0.804,No,p-3m1
GaN,1.121,1.373,1.373,0.192,0.000,1.877,4.465,3.090,0.228,1.190,0.661,0.000,9.252,2,2,-0.000,0.416,-0.003,No,p-6m2
GaP,0.908,3.004,3.004,0.224,0.000,1.583,3.273,2.369,inf,0.674,0.766,0.439,13.345,2,2,-0.065,0.447,0.053,No,p3m1
PbS2,0.817,4.619,4.619,0.379,0.000,0.755,1.763,1.321,0.521,1.155,7.858,3.084,12.823,3,2,-0.000,0.374,-0.004,No,p-3m1
PbS2,1.307,2.026,2.026,0.275,0.000,1.390,,2.299,0.365,0.778,2.948,2.150,19.352,3,2,0.000,0.191,-0.187,No,p-6m2
PbSe2,1.157,2.478,2.478,0.309,0.000,1.027,,1.847,0.286,0.372,3.207,2.426,20.603,3,2,0.000,0.180,-0.209,No,p-6m2
PbSe2,0.529,7.865,7.865,0.419,0.000,0.082,0.389,0.439,0.542,0.419,9.131,3.338,13.851,3,2,-0.000,0.347,-0.041,No,p-3m1
HgO,0.327,46.069,46.069,0.170,0.895,0.302,,0.025,1.771,0.445,,0.000,12.284,2,2,-0.000,0.211,-0.145,No,p-6m2
InN,0.517,3.823,3.823,0.211,0.000,0.616,1.914,1.565,0.101,1.721,,0.000,11.070,2,2,-0.000,0.482,0.482,No,p-6m2
InP,0.476,3.498,3.498,0.236,0.000,1.099,2.300,1.774,0.094,0.795,0.947,0.495,15.388,2,2,-0.084,0.432,0.187,No,p3m1
InSb,0.298,6.258,6.258,0.265,0.000,0.475,1.307,0.945,1.769,0.091,,0.757,18.834,2,2,-0.071,0.379,0.238,No,p3m1
PdBr2,0.878,3.158,3.158,0.355,0.000,0.198,,1.525,0.825,2.026,1.081,2.907,13.199,3,2,0.000,0.148,-0.226,Yes,p-3m1
PdCl2,1.559,2.382,2.382,0.311,0.000,0.463,2.512,2.086,1.249,2.283,1.200,2.719,12.058,3,2,-0.000,0.166,-0.350,Yes,p-3m1
PdO2,1.278,3.767,3.767,0.240,0.000,1.379,2.903,2.875,1.600,inf,1.468,1.958,8.289,3,2,0.000,0.000,-0.399,No,p-3m1
PdS2,0.593,7.544,7.544,0.357,0.000,1.171,2.441,1.681,0.345,2.656,0.837,2.490,10.935,3,2,0.000,0.101,-0.196,No,p-3m1
PdSe2,0.398,10.799,10.799,0.387,0.000,0.558,1.615,0.906,0.265,0.709,0.717,2.626,12.080,3,2,0.000,0.026,-0.265,No,p-3m1
PdSe2,0.274,40.089,40.089,1.295,1.177,0.229,,0.266,1.128,0.294,1444.760,2.396,13.864,3,2,-0.000,0.268,-0.023,No,p-6m2
Ag2Br2,1.458,1.464,1.464,0.352,0.000,1.834,,3.092,0.529,1.332,4.115,3.399,19.457,4,2,-0.000,0.017,-0.331,No,p4/nmm
PtBr2,0.694,2.961,2.961,0.349,0.000,0.152,,1.352,0.920,1.601,1.003,2.822,13.539,3,2,0.000,0.293,0.024,Yes,p-3m1
PtCl2,1.319,2.284,2.284,0.305,0.000,0.403,2.370,1.864,1.369,1.408,1.124,2.632,12.434,3,2,-0.000,0.358,-0.067,Yes,p-3m1
Ag2Cl2,1.744,1.129,1.129,0.283,0.000,2.000,,3.462,0.591,2.991,,2.910,20.044,4,2,-0.000,0.048,-0.391,No,p4/nmm
Ag2F2,2.370,0.762,0.762,0.152,0.000,0.555,,2.475,0.484,2.615,,0.654,22.028,4,2,-0.000,0.101,-0.913,No,p4/nmm
PtO2,1.503,2.803,2.803,0.229,0.000,1.674,3.593,3.150,2.182,8.206,1.037,1.886,8.581,3,2,-0.000,0.006,-0.549,No,p-3m1
PtS2,0.714,5.335,5.335,0.352,0.000,1.688,2.945,2.488,0.267,1.068,0.511,2.464,11.060,3,2,-0.000,0.000,-0.394,No,p-3m1
Ag2I2,1.082,1.879,1.879,0.415,0.000,1.874,,2.922,0.395,0.691,,3.699,20.502,4,2,-0.000,0.016,-0.253,No,p4/nmm
Ag2O2,1.179,4.433,2.890,0.187,0.000,0.164,,1.126,0.723,1.075,1.068,1.219,19.139,4,2,-0.000,0.058,-0.046,No,p2/m11
PtSe2,0.511,7.068,7.068,0.385,0.000,1.167,2.381,1.636,0.327,3.028,0.410,2.620,12.167,3,2,-0.000,0.000,-0.413,No,p-3m1
Ag2S2,1.187,4.557,2.091,0.284,0.000,0.962,,1.557,0.986,1.711,0.649,2.441,21.780,4,2,-0.000,0.120,0.063,No,p2/m11
PtTe2,0.347,10.575,10.575,0.428,0.000,0.303,1.242,0.599,0.210,0.388,0.183,2.774,13.966,3,2,0.000,0.027,-0.392,No,p-3m1
Ag2Se2,1.091,5.917,2.100,0.322,0.000,0.750,,1.179,0.872,1.009,0.571,2.760,22.760,4,2,0.000,0.089,0.022,No,p2/m11
Ag2Te2,0.940,7.954,2.155,0.362,0.000,0.477,,0.756,0.814,0.819,0.374,2.966,25.763,4,2,0.000,0.110,0.059,No,p2/m11
Al2O2,0.787,3.589,3.589,0.365,0.000,1.315,2.568,1.849,0.612,0.395,1.473,3.959,7.671,4,2,-0.000,0.237,-2.258,No,p-6m2
Al2S2,1.330,3.104,3.104,0.482,0.000,2.085,3.774,2.881,0.621,3.088,1.688,4.737,11.124,4,2,0.000,0.006,-0.886,No,p-6m2
Al2Se2,1.096,3.631,3.631,0.517,0.000,1.997,3.537,2.721,0.727,3.090,1.738,4.923,12.359,4,2,0.000,0.000,-0.717,No,p-6m2
