MOA_general,MOA_specific,MOA_group,Tested,drug_name,CSN
Tubulin - depolymeriser,inhibits polymerisation,15,TRUE,Thiophanate-methyl,SY1579
GABA antagonist,orthosteric site,6,TRUE,aryl heterocycle,SY0658
vAChT inhibitor,spiroindoline-type,17,TRUE,SY1782,SY1782
vAChT inhibitor,spiroindoline-type,17,TRUE,SY1793,SY1793
vAChT inhibitor,spiroindoline-type,17,TRUE,SY1727,SY1727
vAChT inhibitor,spiroindoline-type,17,TRUE,SY1713,SY1713
Tubulin - stabiliser,,16,TRUE,SY1655,SY1655
nAChR antagonist,,12,TRUE,Triflumezopyrim,SY1257
AChE inhibitor,Carbamate,3,TRUE,Methiocarb,SY0313
Tubulin - depolymeriser,depolymeriser,15,TRUE,Benomyl,SY1551
AChE inhibitor,Carbamate,3,TRUE,Fenobucarb,SY0353
AChE inhibitor,Carbamate,3,TRUE,Oxamyl,SY0372
Octopamine agonist,thiazoline,13,TRUE,thiazoline,SY1362
Octopamine agonist,imidazoline,13,TRUE,imidazoline,SY1386
mAChR - agonist,,9,TRUE,(±)-Muscarine chloride hydrate ,SY0983
nAChR agonist,neonicotinoid,11,TRUE,SY1194,SY1194
nAChR agonist,neonicotinoid,11,TRUE,SY1134,SY1134
nAChR agonist,neonicotinoid,11,TRUE,SY1187,SY1187
GABA antagonist,orthosteric site,6,TRUE,Fipronil,SY0611
DMSO,,0,,DMSO,DMSO
NoCompound,,-1,,NoCompound,NoCompound
NoCompound,,-1,,NoCompound,NoCompound
